Name,ShortName ,ModeAndPID,Equation,Min Value,Max Value,Units,Header,
[ET001] Plus After On  Ignition  On Comp,Ignition,22200E,{A:0},0,0,,7.00E+00,
[ET018] Request On the On  Air conditioner ,AC req,222229,{A:0},0,0,,7.00E+00,
[ET038] Engine,Engine,222010,A,0,0,,7.00E+00,
[ET041] Front  Rel  Boxes Gear ,before rel gearbox,222C04,(A&7),0,0,,7.00E+00,
[ET043] Adjustment Speeds ,speed reg ,222079,{A:3},0,0,,7.00E+00,
[ET115] Signal Lamp Presumption  Heating ,Glow lamp,222823,{A:0},0,0,,7.00E+00,
[ET116] Permit  On Incl  Air conditioner ,AC perm,222092,{A:0},0,0,,7.00E+00,
[ET160] Command Relay Preliminary _ Preheat,Glow,22201A,{A:0},0,0,,7.00E+00,
[ET205] Control Relay Res  Syst  Cool  no 1,T-1,22201D,{A:0},0,0,,7.00E+00,
[ET206] Control Relay Res  Syst  Cool  no 2,T-2,22201D,{A:1},0,0,,7.00E+00,
[ET207] Control Relay Res  Syst  Cool  no 3,T-3,22201D,{A:2},0,0,,7.00E+00,
[ET336] Input Values Parameter Functions Horn ,input value param horn,222479,{A:0},0,0,,7.00E+00,
[ET405] Contact Pedals Clutch ,cont pedal clutch,22222D ,(A&7),0,0,,7.00E+00,
[ET413] QC/SL Function ,QC Function ,22204C,(A&7),0,0,,7.00E+00,
[ET521] Minimum Information level Fuel ,min ur fuel,22281B,{A:0},0,0,,7.00E+00,
[ET587] Syst cooling recycle Spent Gases ,syst cooling horn,22240F,{A:0},0,0,,7.00E+00,
[ET649] Detector Water In Diesel Fuel,water!,22FD70,{A:0},0,0,,7.00E+00,
[ET673] Detect Locks Pedals Accelerator ,blocker axel,222036,A,0,0,,7.00E+00,
[ET691] Switch launch Engine ,off engine spare ,222079,{A:0},0,0,,7.00E+00,
[ET702] Static Regeneration ,static regen,222434,(A&7),0,0,,7.00E+00,
[ET703] Switch Regulator / Limiter Speed ,off QC,22204B,(A&7),0,0,,7.00E+00,
[ET723] Displayed Speed Vehicle ,disp speed,222226,{A:0},0,0,,7.00E+00,
[ET724] Multiplexing  Speed Information Vehicle ,info speed,222225,{A:0},0,0,,7.00E+00,
[ET726] Power on rear Stroke ,incl  reverse,222079,{A:1},0,0,,7.00E+00,
[ET727] Connect Reg / Ogre Sk After Press Off Reg Sk ,connection kk after speed reg ,22203B,{A:0},0,0,,7.00E+00,
[ET728] Connect Reg / Ogre Sk After Press Off ogre Sk ,connection kk after speed limit,22203E ,{A:0},0,0,,7.00E+00,
[ET732] Manual Or Automatic  Parking Brake,parking,22222B,{A:0},0,0,,7.00E+00,
[ET755] N Pos  Lever Switch _ Mechan  Cor  Lane ,neutral manual transmission, 22222E ,(A&3),0,0,,7.00E+00,
[ET756] Auto  Cor  Trans  Works In Reserve  Mode ,Automatic transmission bypass!,22204F,{A:6},0,0,,7.00E+00,
[ET757] Per Inf By Mul Networks From Date Walk Ped Coupling ,inf on cartoon from coupling ,222222,{A: 0} ,0,0,,7.00E+00,
[ET759] Trans  Info  By Mule  Networks About Disp  Brake,Brake Detect,22200F ,(A&15),0,0,,7.00E+00,
[ET760] First launch Engine ,first engine spare ,222047,{A:0},0,0,,7.00E+00,
[ET764] Signal Dutch Start Hoda Ped Sc By Prov Links ,start move clutch pedal,22222F ,{A:0},0,0,,7.00E+00,
[ET767] Unit measurements Speeds car ,unit speed meter,222051,{A:0},0,0,,7.00E+00,
[ET774] Regulation Pressure Boost ,reg boost pressure,22241E ,(A&31),0,0,,7.00E+00,
[ET775] Sinhr  Sign  Vmt Sensor _ Position  Raspr Vala ,sinh sign vmt sensor camshaft position ,222014,{A: 0} ,0,0,,7.00E+00,
[ET785] Status Info Pedals sceptle Unavailable ,info about ped clutch unavailable,22204F,{A:0},0,0,,7.00E+00,
[ET786] Status Info Pedals sceptle Missing , info ped no clutch,22204F ,{A:1},0,0,,7.00E+00,
[ET787] Position Info Pedals brakes Unavailable ,info about ped brake unavailable,22204F,{A:2},0,0,,7.00E+00,
[ET788] Position Info Pedals brakes Missing , info ped no brake ,22204F,{A:3},0,0,,7.00E+00,
[ET789] Slow down Without clicks On the Pedal Brakes ,auto stop ,22204F,{A:4},0,0,,7.00E+00,
[ET790] Sharp Slowed down Without clicks On the Ped Brakes ,fast stop,22204F,{A:5},0,0,,7.00E+00,
[ET791] Off Regulator Speed ebu Systems Injection ,off QC injection system , 22204F ,{A:7},0,0,,7.00E+00,
[ET792] Off Restricted Speed ebu Systems Injection ,off QC injection system , 22204E ,{A:5},0,0,,7.00E+00,
[ET793] Current Info  Speeds Aut  Unavailable , info tech abbr unavailable,22204E,{A:0},0,0,,7.00E+00,
[ET794] Info  About Display _ On the Ecre  Speed _ Aut  Insuff ,inf about display speed not available,22204E ,{A:1},0,0,,7.00E+00,
[ET795] Current Info Speed car Missing , tech info abbr missing,22204E,{A:2},0,0,,7.00E+00,
[ET796] Out Info On the Screen Speed Autom Missing ,inf about display no speed,22204E ,{A:3},0,0,,7.00E+00,
[ET797] Change of Units Car Speed Measurements,Change of units measured speed,22204E,{A:4},0,0,,7.00E+00,
[ET799] Connect switch Stop Signal Wires ,connect off stop signal wires,222026,(A&3),0,0,,7.00E+00,
[ET807] Antiprobuks  System  And Stabilization  Traject,ESP,222079,{A:2},0,0,,7.00E+00,
[ET808] Parking Brake,parking,222079,{A:4},0,0,,7.00E+00,
[ET813] Request Low Speed El / Vent  with ebu Injection ,request bottom soon vent with injection computer,22204A ,{A:0},0,0,,7.00E+00,
[ET814] Request High Speed El / Vent  with ebu Injection ,request high soon vent with injection computer,22204A ,{A:1},0,0,,7.00E+00,
[ET815] Request Low Speed El / Fan  with ebu Cond ,request bottom soon vent with ecu cond,22204A ,{A:2},0,0,,7.00E+00,
[ET816] Request High Speed El / Fan  with ebu Cond ,request high soon vent with ecu cond,22204A ,{A:3},0,0,,7.00E+00,
[ET817] Request Low Speed El / Fan With Computer Akp ,request bottom soon vent with automatic transmission ecu,22204A ,{A:4},0,0,,7.00E+00,
[ET818] Request High Speed El / Fan With Computer Akp ,request high soon vent with automatic transmission ecu,22204A ,{A:5},0,0,,7.00E+00,
[ET819] End Request El/Fan Speed Low , end request bottom fan speed,22204A ,{A:6},0,0,,7.00E+00,
[ET820] End Request High Speed El / Fan ,end request high fan speed,22204A ,{A:7},0,0,,7.00E+00,
